David’s Battle with Goliath	Gideon’s Battle against the Midianites 	The Battle of Jericho 	Israel’s Battle against the Amalekites 	Israel’s Battle with the Philistines 
Who was David’s father? 	How many men did Gideon start with? 	How many days did they march around Jericho? 	Where did this battle take place? 	How many Israelites did the Philistines slay in the first battle? 
Jesse	32,000 	Seven	 Rephidim	About 4000
What did Jesse give to David to take to the captain of their thousand? 	How many of Gideons army were afraid and went home? 	How many times did they go around the first 6 days?	What did Moses have in his hand? 	Who were Eli’s two sons? 
10 cheeses	22,000.	One	The rod of God	Hophni & Phinehas
What was David’s reply to Eliab’s criticism?	Into how many companies did Gideon divide his remaining army? 	How many times did they go around the 7th day? 	Moses built an alter and what name did he give the place? 	What was the command to the Philistine army? 
“What have I done? Is there not a cause?	3	Seven	Jehovahnissi	Be strong and quit you like men
What armor did Saul give to David? 	What phrase did Gideon tell his army to say when he blew the trumpet? 	Who was spared and why? 	Who went with Moses to the top of the hill? 	How many Israelites were slain in the second battle? 
His own armor, a helmet of brass, a coat	The sword of the Lord and of Gideon.	Rahab, because she hid the spies and eve	Aaron & Hur	30,000
What did Goliath say he would do with David’s flesh? 	What two princes of the Midianites did they capture and behead? 	When did the priests blow the trumpets? 	What did Aaron & Hur do? 	What happened when Eli was told about his sons and the ark? 
Give it to the fowls and the beasts	Oreb and Zeeb	Every day	Held up Moses’ hands	He fell off his seat backward, broke his
