Paul	Moses	Children of Israel	Kings	Prophets
Who restored Paul’s sight after the Lord blinded him?	How long did Moses’s mother hide him to escape the death edict of Pharaoh?	What was the total number of the children of Israel that went down to Egypt? 	What king was guilty of idolatry in making two golden calves and commanding the people to worship them?	What was the first prophecy?
Ananias	3 MOnths	70	Jeroboam	 The victory over Satan of the seed of t
How did Paul escape Damascus when the Jews were trying to kill him?	Who was Moses’s father-in-law?	How were the children of Israel guided in their forty years of wandering in the wilderness?	Who was the most wicked king of Israel?	Who prophesied that Judah should be carried captive into Babylon?
 He was let down from the city walls in 	Jethro	 By a pillar of cloud by day and a pilla	Ahab	Jeremiah
Where was an altar erected “to the unknown God”?	How old was Moses when he gave God’s message to Pharaoh: “Let my people go”?	How long did the children of Israel journey in the wilderness of Shur before they found water?	Who was made king of Judah at seven years of age after having been hidden for six years?	What prophet was suspended between earth and heaven by a lock of his hair?
Athens	80 years 	3 days	Joash	Ezekiel
What was Paul’s occupation? 	What was the first of the ten plagues in Egypt?	How long were the children of Israel in Egypt?	What king did God smite with leprosy?	What prophet was sent as a missionary to the Ninevites?
Tentmaking	Water turned into blood	215 or 430 years	Uzziah	Jonah
Prior to raising Eutychus from the dead, Paul preached a lengthy sermon. At what hour did he end his sermon?	Where was Moses buried?	Upon what mountain was Israel cursed for disobedience?	What king of Israel followed heathen practices by burning his children in the fire?	The destruction of Nineveh was the fulfillment of whose prophecy?
Midnight 	 In the valley of Moab 	Mount Ebal	Ahaz	Nahum
