Christmas	Christmas	Christmas	Christmas	Christmas
In the book of Matthew, who told Joseph that the baby was to be called Jesus?	Which angel appeared to Zacharias?	Which Christmas Carol brings us "Tidings of Comfort & Joy"?	 What age was Jesus when the wise men came to see him?	Who was the king of Judea at the time when Jesus was born?
An angel  	Gabriel 	God Rest Ye Merry Gentlemen 	The bible does not tell us His age	Herod 
Which animals were present at the actual birth of Jesus?	In which Gospel do we read of an angel announcing the birth of John to an aged and "barren" Elizabeth?	What were the gifts from the wise men?	Why did Mary and Joseph go to Bethlehem?	What did Mary use as a crib for Jesus?
The bible does not mention any animals	Luke	gold frankinsence and murr	Because of a census	A manger
What was the name of the prophetess who approached Mary and Joseph in the temple and thanked God for the baby Jesus?	In the Gospel of Luke what is the name given for an army of Angels praising God?	How did the shepherds who visited the baby Jesus know how to find him? 	Where did Joseph flee to with Mary and Jesus?	Which books of the bible tell us about the birth of Jesus?
Anna	 Heavenly Host	An angel told them	Egypt 	Matthew & Luke 
According to the Gospel of Matthew - the Wise Men saw the Star in the what?	How many times is the actual term "swaddling clothes" mentioned in the Bible?	How did Mary find out she was pregnant?   	What age was Jesus when His parents lost Him on a trip and then found Him in the temple?	Where did Mary & Joseph go to live after their time in Egypt?
east	2	An angel told her	12  	Nazareth
In the Gospel of Luke what is the City of David called?	 In the Gospel of Matthew who was Jesus' earthly grandfather?	Which prophet said "unto us a child is born?	When did Elizabeth's baby jump in her womb?	Which prophet told where Jesus would be born?
Bethlehem	Jacob	Isaiah 	When he heard Mary's greeting	Micah
