Ezra 1	Ezra 1 Cont.	Acts 13	Acts 14	Acts 15
What did the Lord stir up in King Cyrus?	How many chargers of silver were returned?	How is Barjesus described in verse 6?	At the synagogue in Iconium who believed?	What did the men from Judea teach?
His spirit	1,000	A sorcerer, a false prophet, and a Jew	 A great multitude both of Jews and also	Except ye be circumcised after the manne
What were the people supposed to bring for the house of God?	How many basins of a different kind were returned?	What happened to Elymas the sorcerer when he withstood Paul and Barnabas?	How long had the crippled man been crippled?	Who received Paul and Barnabas when they were come to Jerusalem?
Silver, gold, goods, animals, and freewi	410	He became blind	Since being in his mother’s womb	The church, and of the apostles and elde
What did people give besides silver and gold?	How many chargers of gold were returned?	What did the deputy do when he saw what was done? 	What did the people say when they saw Paul heal the Crippled man? 	When there had been much disputing who rose up and began speaking?
Beasts (animals) and precious things	30	Believed	The gods are come down to us in the like	Peter
Where did Nebuchadnezzar put the holy vessels?	Who was the treasurer that Cyrus gave the vessels to?	Who was a man after God’s own heart and would fulfill all of God’s will?	What did the people call Barnabas? 	What is known unto God?
In the house of his gods	Mithredath	David	Jupiter	 All his works from the beginning of the
What was Sheshbazzar’s job?	What was the total number of all the vessels of gold and silver?	Who raised Jesus from the dead? 	What did the people call Paul?	What did Judas and Silas do in Antioch? 
To carry the vessels back to Jerusalem	5400	God	Mercurius	Exhorted the brethren with many words, a
