Galatians 3	Galatians 3	Galatians 4	Galatians 4	Galatians 4
How does God justify the heathen? 	In “who” will all nations be blessed? 	According to Galatians 4:6, what has God sent forth into our hearts? 	According to Galatians 4:26, Who is the mother of us all? 	According to Galatians 4:24, What did the sons of the freewoman and the bondmaid represent? 
Through faith	Abraham	The Spirit of his Son	 Jerusalem, which is above	The two covenants
Who does Paul call foolish?	If the inheritance be of the law, it is no more of what? 	According to Galatians 4:11, What about the Galatians was Paul afraid of?	When were we in bondage under the elements of the world?	According to Galatians 4:25, To Whom did Agar/Mt. Sinai answer?
The Galatians	Promise	That he might have bestowed labor on the	When we were children	Jerusalem
 Who were the promises made to?	Why was the law our schoolmaster? 	According to Galatians 4:16, What did Paul do that cost him to become the Galatians enemy?	According to Galatians 4:6, what does the Spirit of Christ cry from within our hearts? 	According to Galatians 4:28, What did Paul say the Galatians had become through salvation?
Abraham and his seed.	To bring us unto Christ	He told them the truth	 Abba Father	The children of promise
The law was our what?	When Abraham believed God, it was accounted to him for what?	When is the heir no different than a servant? 	According to Galatians 4:13, through what did Paul preach the gospel to the Galatians?	According to Galatians 4:31, Who were the Galatians the children of? 
Schoolmaster	Righteousness	When he is a child	 Infirmity of the flesh	The freewoman
What did the Galatians stop obeying? 	No man is justified by “what” in the sight of God? 	According to Galatians 4:21, Who did Paul ask if they could hear the law? 	According to Galatians 4:18, When is it good to be zealously affected?	According to Galatians 4:29, Who persecuted him that was born after the Spirit?
The truth	By the law	Those who desired to be under the law	Always in a good thing	He that was born after the flesh
