Chapter 1	Chapter 2	Chapter 3	Chapter 4	Chapter 5
Besides Peter, who was the only other apostle the Paul saw while in Jerusalem? 	According to Galatians 2:16, by what is a man justified? 	The law was our what? 	According to Galatians 4:5, why did God send forth his Son? 	According to Galatians 5:3, Who is a debtor to do the whole law? 
James, the Lord’s brother.	By the faith of Jesus Christ	Schoolmaster	To redeem them that were under the law	Him that is trusting in the law
What did Paul say should happen to someone that preaches a different gospel? 	Through the law Paul became what? 	If the inheritance be of the law, it is no more of what? 	According to Galatians 4:11, What about the Galatians was Paul afraid of? 	According to Galatians 5:6, What two things avail nothing for salvation? 
They should be “accursed”.	Dead to the law	Promise	hat he might have bestowed labor on them	Circumcision and uncircumcision
According to Galatians 1:14, what was Paul “Exceedingly Zealous” of? 	According to Galatians 2:6, who accepts no man’s person? 	In “who” will all nations be blessed? 	According to Galatians 4:16, What did Paul do that cost him to become the Galatians enemy? 	3.According to Galatians 5:7, How did the Galatians run? 
The traditions of his fathers.	God	Abraham	He told them the truth	Well
According to Galatians 1:4, why did Jesus Christ give himself for our sins	Who came in to “spy out” their liberty? 	When Abraham believed God, it was accounted to him for what? 	According to Galatians 4:20, What did Paul stand in? 	According to Galatians 5:11, When is the offense of the cross ceased? 
To deliver us from this present evil wor	False Brethren	Righteousness	Doubt about the Galatians	When circumcision is preached instead of
What two creatures did Paul say should not preach another gospel message? 	According to Galatians 2:21, Christ is dead in vain if what? 	What concluded that all are under sin? 	According to Galatians 4:23, Who was born after the flesh? 	According to Galatians 5:22-23, What is the fruit of the Spirit? 
Men and Angels	If righteousness come by the law	Scripture	He who was born of the bondwoman	love, joy, peace, longsuffering, gentlen
