Peter 1	Peter 2	Peter 3	Peter 4	Peter 5
Who changed Simeons name to Peter?	After Jesus had resurrected and shown himself to the Apostels, what did Peter do?	After Peters sermon at Pentecost, about how many people were saved and baptized?	Who came to Peter late at night and helped him escape prison?	What did Peter find with a coin in its mouth?
Jesus	Goes fishing	3000	An Angel	a fish
What was Peters job when he first encountered Jesus?	Which member of Peters family had a fever that was healed by Jesus?	What does Peter see in his vision?	Who, at the trial of Peter and John, kept them from being punished by the rulers and priests?	In Peters first letter, who is described as a roaring lion?
Fisherman	Mother-in-law	Large sheet covered in animals	The healed lame man	The devil
What was the name of Peters brother?	How did Peter die?	What was the name of the girl who greeted Peter at Mary's house when he esacped from prison?	Which Roman soldier to Peter lead to become a follower of Christ?	To whome did Peter rebuke for trying to buy the power of the Holy Spirit?
Andrew	He was crucified upsidedown	Rhoda	Cornelius	Simon
What was the name of the servant whose ear was cut off by Peter?	Who was the first person to tell Peter about Jesus?	Which disciple outran Peter to the tomb of Jesus?	What woman did Peter raise from the dead?	What was Peters answer when Jesus asked "Whom say ye that I am?"
Malchus	Andrew	John	Tabitha	Thou are the Christ the son of the God
Why did Peter begin to sink while walking on the water?	What was the name of bedridden man healed by Peter in Lydda?	Why was Paul critical of Peter in Antioch according to Galatians?	How many times did Peter deny Jesus before the rooster crowed?	What did Peter suggest that they do at the transfiguration?
He doubted	Aeneas	He withdrew himself from the gentiles	Three	Build an altar
