Animals	Villains	Judges	More Judges	More Animals
In Matthew and Luke, Jesus tells us that we are of more value than what bird?	Which king had the 3 Hebrew children thrown into the fiery furnace?	Who was the king of Moab that the Israelites served? 	Who was the prophetess who judged Israel? 	After the prodigal son wasted all his money, he went into the fields to feed these animals
Sparrow	 Nebuchadnezzar	Eglon	Deborah	Swine
These animals came out of the rivers in the 2nd plague on Egypt.	What makes someone “an antichrist”?	What happened to the dagger after Ehud stabbed Eglon with it?	Who subdued Jabin?	Pharaoh dreamt about lean-fleshed and fat-fleshed what?
Frogs	Denying that Jesus was come in the flesh	The fat closed upon it so he couldn’t pu	 God	Cattle
What animal came to deceive Eve in the Garden of Eden?	Who was hanged on the gallows he built for Mordecai?	Who was Shamgar’s father? 	Into whose tent did Sisera flee? 	What two types of birds did Noah send from the ark to find dry ground?
Serpent	Haman	Anath	Jael	Dove & Raven
What kind of animal talked to his owner?	Where did Cain live after he was sent from the presence of the Lord?	How long did the land have rest before the first judge died?	How did the Midianites impoverish the Israelites? 	When Jesus returns before the Millennial reign, what will He and the armies of heaven be riding? 
Donkey 	 The land of Nod	40 years	They destroyed their crops and left them	White horses 
What four animals are considered wise according to Proverbs 30? 	What parts of Jezebel were found after she was thrown from a tower? 	How long did Sisera oppress the Israelites?	Where did Gideon and the people make camp?	In Psalm 102, the Psalmist compares himself to what two birds?
Ant, Coney, Locust, & Spider 	Skull, Feet, Palms of hands  	 20 years	By the well of Harod	Pelican & Owl 
