Old Testament People	Old Testament Events	New Testament People	New Testament Teachings & Letters	General
What prophet was commanded to cook his food over human dung?	How many times did the Israelites march around Jericho on the seventh day?	Who replaced Judas Iscariot as an apostle?	Which books are addressed to “Theophilus”?	Which Psalm is the longest chapter in the Bible?
Ezekiel 	Seven times	Matthias	Luke and Acts	Psalm 119
Who was the left-handed judge of Israel who killed Eglon, king of Moab?	Who prayed, and the sun stood still?	Who fell asleep during Paul’s sermon and fell out of a window?	What chapter is known as the “Love Chapter”?	Which two people in the Bible never died?
Ehud 	Joshua	Eutychus	1 Corinthians 13	Enoch and Elijah 
Who built the first city mentioned in the Bible?	What Old Testament book does not mention God by name?	Which apostle was exiled to the island of Patmos?	In the book of Revelation, how many churches are addressed?	What is the shortest verse in the Bible?
Cain	Esther	John	Seven	(John 11:35)
What man was made like a beast for seven years?	How many people were on Noah’s Ark?	Which two people were struck dead for lying to the Holy Spirit?	What was the profession of Simon Peter before following Jesus?	How many days did Jonah spend in the belly of the fish?
Nebuchadnezzar	Eight	Ananias and Sapphira 	Fisherman	Three
What king made an iron bed that was 9 cubits long and 4 cubits wide?	What Old Testament figure shaved his head, tore his robe, and worshipped God after extreme tragedy?	Which disciple doubted Jesus’ resurrection until he saw Him?	Who was the first person to see Jesus after His resurrection?	Who wrote a riddle about honey and a lion?
Og, king of Bashan 	Job	Thomas	Mary Magdalene	Samson
