Leading up to the Cross	Before the Cross	The Cross	Ressurection	Ascension
Why is the Sunday before the Resurrection called Palm Sunday?	What was the Jewish feast which was being celebrated the week Christ was crucified?	What happened in the Temple as a sign that the death of Jesus made way for people to approach God?	Who were the two men who helped prepare the body of Christ for burial?	On what day do the Gospels say Jesus was raised from the dead?
People laid down palm branches	The Passover	The veil was torn from top to bottom. 	Joseph of Arimathea and Nicodemus	On the first day of the week.
How many hours was Jesus on the cross? 	When Jesus entered Jerusalem during what is known as His Triumphal Entry, what animal was He riding on?	After Jesus’ death, who took Jesus’ body away with Pilate’s permission? 	Who was the first person to see the risen Christ?	What did the cheif priest do with the guards that reported what they saw?
6 hours	Colt or Donkey	Joseph of Arimathea	Mary Magdalene	Bribed them to say the disciples stole
How many times did Peter deny Christ?	What was the name of the high priest’s servant who had his ear cut off by the disciple?	Who was released instead of Jesus to the people?	Which disciple wanted to see the holes of the nails before he would believe?	How many times did Jesus ask Peter if he loved Him?
3 times	Malchus	Barabas	Thomas	3
Which disciple cut off the ear of the high priest’s servant in an attempt to protect Jesus from being taken as a prisoner?	How many pieces of silver did Judas trade the life of Jesus for?	Following the statements of Jesus on the cross, there was a statement by a Roman soldier concerning Christ. What was it?	With what was Jesus' side pierced?	Jesus appeared to his disciples by the Sea of Galilee.  How did the disciples discover that it was Jesus? 
Peter	30 pieces of silver	Truly this man was the son of God.	Spear	Miraculas catch of fish
Who was compelled to carry Jesus’ cross behind Him? 	How did Judas identify Jesus to the soldiers?	When Jesus died there was darkness in the land. How long did it last?	What was inscribed above the cross?	After Jesus ascended, whom did He send to help His followers? 
Simon of Cyrene	Kissed Jesus	3 hours	King of the Jews	The Holy Spirit
