Villains	Villains	Villains	Villains	Villains
What parts of Jezebel were found after she was thrown from a tower? 	Who was the wicked wife of King Ahab?	How tall was Goliath?	How long after his dream was Nebuchadnezzar driven to the fields to live like a beast? 	Who was the first murder in the Bible?
Skull, Feet, Palms of hands	Jezebel	Six cubits and a span	12 months 	Cain
Which king of Judah was said to be more wicked than them all? 	Who was hanged on the gallows he built for Mordecai? 	Our adversary, Satan, is said to walk about like what?	Which king had the 3 Hebrew children thrown into the fiery furnace?	Who tricked Samson into revealing the secret of his strength?
Manasseh 	Haman 	A Roaring Lion	Nebuchadnezzar	Delilah
Which king of Israel was said to be more wicked than them all?	What weapon did Saul use twice to try to kill David?	Who was consenting to Stephen’s death and persecuted the church? 	Which King saw the handwriting on the wall? 	Who was the wicked man that plotted to kill all the Jews in the book of Esther?
Ahab	A Javelin	Saul	Belshazzar	Haman
Who tried on a daily basis to get Joseph to sin with her? 	Whose idea was it to sell Joseph to the Ishmeelites? 	Who was Amnon’s friend that gave him advice regarding his half-sister?	What makes someone “an antichrist”?	Who was the Roman governor who allowed Jesus to be crucified, even though he found no fault in Him?
Potiphar’s wife	Judah	Jonadab 	Denying that Jesus was come in the flesh	Pontius Pilate
Where did Cain live after he was sent from the presence of the Lord? 	What two men opposed the work Nehemiah was doing to rebuild the wall at Jerusalem?  	Which disciple betrayed Jesus?	Who was king when Jesus was born, and what did he do to try make sure Jesus was dead?	Who was the greedy man that kept treasure from Jericho and caused Israel to lose in battle?
Nod	Sanballat and Tobiah	Judas Iscariot	Herod, had all baby boys 2 and under kil	Achan
